Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
Alexander Romani,173539943426031616,1364028271691567104,1442dda2-eba5-411d-b37c-415f20286ebe,https://imgur.com/9vyfQbj.png,,https://docs.google.com/spreadsheets/d/1GrUAceR0r5aYbH738DRHI-o4uuViUD80F7VrdEmUT1M/edit?usp=sharing,"Orator 1
Chanter 2
Loremaster 2",,5,"Terra, Haven, Mount Providence",,"Light grey almost white hair, constant stern look on his face with piercing red eyes. Wears a formal but out of fashion suit with a red tie.",Insolvent,,,"- Born and Raised in Mount Providence having a passion for classical songs by hearing it from a radio

- Passed away due to illness before he could get a proper start in the singing industry and became an insolvent due loans from education as well as equipment

- After almost a decade of trying to pay the debt off working entry level jobs in Central, Alexander moved back to Mount Providence almost ready to give up and become a ghoul.

- Instead his passion for the classical music reignites as he a found a old oprea piece and sang his heart out.

- With a new sense of duty he goes out to abandon buildings and churches to find more pieces like the one he found that day to preserve them so that others can still listen

- Currently works at a SWORD affiliated branch at the Fortune Valley Casino where he entertains guests with songs and help remix classic sheet music for SWORD to reuse in their products.

- Got picked up by the realmstorm when scavenging for more antiques",Duty
Alexandra Stuart Lancastrian,169795599758131200,1364201382101647360,59f14b2e-70b4-4fbf-bac8-5c3deb8ae04a,https://i.imgur.com/rThtzsn.jpeg,,https://docs.google.com/spreadsheets/d/17BW9pf-WCzxF60KQ4ugjO5GoKkFkPHcuQBekGK2LESQ/edit?usp=sharing,"Tinkerer 4
Sharpshooter 2",,6,"High tower, Aranova",,"Alexandra Lancastrian fills an imposing figure. She stands at 5'9, though she is often wearing heels or platforms that push her to 6'. Her long hair is nevertheless kept well groomed and straight, maintaining a professional appearance even in the air. And of course, her Service Uniform is kept immaculately pressed, cleaned, and ready for presentation.

Alexandra is an intense woman, with little patience for impropriety, and less for hooliganry or lawless behavior. The people who cross the line often quickly find themselves afoul of her custom service weapon, the 'Principles of Prosperity.'",Old Transport,,,"""* Born to the Prestigious Lancastrian Noble Family. Her father, Charles, is a Mid level Noble in charge of administration of one of the larger Imperial Provinces

* Was always a brilliant girl, and to many considered a Prodigy. 

* Joined the military on her 18th birthday.

* At 25, she was placed as part of the Sky Service, working on the Vigilant Watch to hunt down people who Violate the Delver's Code.

* Six months ago, upon the retirement of her Captain, Johannes Kranston, she was promoted to Captain.

* Two months ago, a confrontation with Charlotte Morgan caused a stir as Charlotte was briefly put under custody. This led to decommission of the ship and her being placed under leave.

* With her ship donated to the Adventurer's Guild, she followed the ship and agreed to join on the condition that she is allowed to keep control of her ship.",Justice
Alexei Volkov,384371410576998401,1365387774974365696,86f09bdb-0a43-45c5-b73c-f99fd492c408,https://i.imgur.com/x2lsAei.jpeg,,https://docs.google.com/spreadsheets/d/1TMNsiKWkap54YxUthwrwSaSI0aSXRPKlDi0zF3Qxyl0/edit?usp=sharing,Necromancer 8 | Entropist 3 | Spiritist 3,,15,Dreadlan,,"Alexei is of average to thin stature and around 5'7'' tall. He's pale, his eyes eerily empty of any colour besides white and grey, and his black hair mirrors this scheme with long streaks of white already showing on the otherwise seemingly young man's black hair. Most notably, Alexei has a large scar that runs down his left cheek, neck and further down. Its not certain how large the scar is, as it eventually disappears under his Gnosis Academy uniform.",,,,"- Alexei attends Gnosis Academy and is on the Worldhelm as part of the school's new 'Exchange' program
- He has enjoyed a rather privileged life under his parents, who are both rather powerful spellcasters based out of Dreadlan
- Past encounters with members of Ursakk's Hoard have made him particularly opposed to the organization, though since entering the academy, he hasn't really had a chance to enact his negative feelings toward them",Ambition
Alwyn,297021352773287946,1334878564562243584,8b18a03c-d135-4b23-b658-f331d468889f,https://i.imgur.com/b7mZGIT.png,,https://docs.google.com/spreadsheets/d/1Ip8MIXAbiM58Pu1zdG2j1DITCPNyODQw56UVZVpS2_E/edit?usp=sharing,Weapon Master 3 / Sharpshooter 2,#D2042D,5,Lhodos,,"A relatively tall, well kept man with black hair wearing loose but well fitting clothes.","Old Transport (Skyship)
You own an old vehicle that you love dearly. Unfortunately, the cursed thing barely
holds together and won’t stop causing you trouble. Did you build this vehicle yourself,
or did you receive it from someone? What very specific flaw or quirk makes it unique?
What makes it extremely recognizable?


- Can have technical issues due to Alwyn's lack of technical know how. Can be minor as screens not turning on or as major as key components shutting off.
- Easily Recognizable to those who have knowledge on the Red Roses.",,,"A wanted Sky Pirate whom currently flies alone. Though he is wanted for Theft and Assault, there is no evidence that he has done so to any non-noble/rich people/group.",Ambition
Amber,237438769840652291,,53ff7e8a-2f6f-4b73-81dd-adfa981a75f6,https://i.imgur.com/Ag8MCI8.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1328896659823788095,https://docs.google.com/spreadsheets/d/1wJCONq6EvAIInBysI6B9NcbMWc_hlSKvxAwL9CuJ8hw/edit?gid=0#gid=0,"Tinkerer 5
Merchant 2
Loremaster 2",#DAE8E2,9,"Ionian Village, Lhodos",,"Amber is a middle aged Felkin with thick black hair.  Her eyes shift between green and yellow depending on the light.  She wears round glasses, and a doctor's coat over basic clothes.  She's usually frowning and/or smoking.",,,,"A divorced single mom, her daughter ran away and she's trying to find her",Family
Ambrose,124671590775390208,1294533840286646272,0c37138a-9b02-4a55-a1a6-84642d429d61,https://imgur.com/T8rFQ8r.png,,https://docs.google.com/spreadsheets/d/1i9XDCnAhiD8O_GCu10Jn772CVljrolOOqtw3Ut--qSk/edit?usp=sharing,"2 Alchemist 
3 Sharpshooter",,5,"Hudal Academy, Kor'Tarion",,"Ambrose is a small person at only 4'5"", whose lithe body is hidden underneath a couple layers of baggy mage clothing and alchemist tools laid atop them. He carries a large backpack covered in meticulously maintained labels. Any educated person in Kor'Tarion would quickly realize that this guy's inventory is stocked with magical payload that could easily raze a small town, if not most of a large city.

Dangling from a short rope attached to the wrist is a charred wand, with its core compartment and focus crystal empty, and waiting for its next configuration.",,,,,Vindication
Amelia Green,299015281853071360,1364626285632028672,35135dc2-43d4-4d67-a2bf-0f8f176ce23b,https://i.imgur.com/02zl44c.png,,https://docs.google.com/spreadsheets/d/1OYX-eIDZs2yBgGMhtAug3Cs8aOa9NjRYXLv1Wzyy9yc/edit?usp=sharing,"Loremaster - 3
Chanter - 7
Arcanist - 1",,11,Terra,,Amelia is a woman of average 5'4 stature with short pale yellow hair and bright red eyes. She often is dressed somewhat professionally and in light colors.,Insolvent,,"Vanagandr (Insolvent)
Banshee (Galeforce)","- Was born in North Rock and had an uneventful life, coming from two hardworking, low-income parents.
- Taking a leap as a young adult, she took out some loans to begin her college education, reasoning that she could surely pay it off once she found a proper career after graduation.
- After graduating, her friends treated her out to celebrate. Being as ecstatic as she was, she overindulged and died that night due to alcohol poisoning. This also soured many of her friendships once she returned as an Insolvent.
- She spent the last 5 years trying to live a normal life, having found an entry-level journalist position for one of Galeforce's smaller newspaper subsidiaries and struggling to move up in the company.",Ambition
Amina Grace,560244151258578964,1357077706474520576,55e01ed7-19d0-4f20-974f-a9478b373450,https://i.imgur.com/S23fc7m.png,,https://docs.google.com/spreadsheets/d/1y2liFIbWxaHtaMsOs-EhVOGVAUxEhx1JckJd5Sn74L8/edit?usp=sharing,"Ace of Cards 5
Entropist 1
Guardian 1",,7,"Haven, Terra",,"Amina is a tall woman, with her most striking features being her pallid skin and her dull red eyes. She's garbed in an eccentric outfit, blending together old styles with modern utilities that end in her appearing like some sort of cosplayer, rather than an adventurer.",Insolvent,,Vanagandr(Insolvent),"- In ancient Terra, a family of diviners made a deal with a dark group in the future, offering up one of their descendants as payment

- In the modern day, Amina, the last known descendant of that family and practitioner of their techniques, was wrapped up in a plot by ET Aquisitions, making her into an Insolvent 

- While using her predictive powers in service of ETA, she tried her best to help the people of Terra with her magic, efforts that eventually got her recognized by the Worldhelm",Truth
Anahi Tanglao,173547590694993920,1325950155744346112,c432c66a-b9a5-4f68-a262-1733c95a4823,https://media.discordapp.net/attachments/737973699336208428/1228456590156501072/Anahi_2.png?ex=663b459a&is=6639f41a&hm=3be60e6d434b1b202af9fc63ecd752d9716729999dc58897d46e0ce59fe2e8ec&,,https://docs.google.com/spreadsheets/d/11XbG4Ac2C06zVx-YmlaLmmP21s82r-zGrQQElz4ioJw/edit?usp=sharing,Floralist ★ | Weaponmaster (1) | Fury (1) | Mutant (8),,20,Sampaguita Village [Amihan | Tian-Yin],,"Anahi is a muscular, 5'11 human woman with ragged traveler's clothes. Her armor is made entirely of fibers and cloth with a strong floral scent.",,,,,Humanity
Anderth Rhastal,180873257480617984,1239030703036043264,c009a254-a038-45bb-b44a-a09dccd54ee9,https://media.discordapp.net/attachments/271396222479106050/1237906313766506587/4bb4cb9d016b7a9b6d8be7df33642a40.jpg?ex=66414e18&is=663ffc98&hm=eaa43245c88ad49849dd6079c21feb556a43d83c5437ad0d5a71cf10ab585f85&=&format=webp&width=&height=,,https://docs.google.com/spreadsheets/d/1Fc9wfjGuoJGAR-ttIeh_ckSQ_MdBK0E4bANTmJSSmQA/edit?usp=sharing,Tinkerer 2 • Weaponmaster 2 • Wayfarer 1,,5,"Skamos, Nezmira",,"Anderth is a buff, stocky man who stands at 6'3"". He wears a thin, patchwork shirt and a durable pair of trousers. His boots are so dirty it's hard to tell where they end and where his legs begin. He carries a beat-up pickaxe with a bunch of counting marks on it. He also wears a utility belt that has all the essentials for a miner. A lantern, oil, rope, a hunting knife, several maps, and various satchels and pockets. Anderth is usually wearing a scowl.",,,,,Duty
Anise,182937998340390912,1179030156703174656,48f38d6c-9cb3-4529-9a36-1292b68ffc6d,https://images-ext-1.discordapp.net/external/G6bi_ti4o9F1c6-Verjf2_5dbkbmZ6UPxSx0nCYS1og/https/i.pinimg.com/564x/25/a0/01/25a001713602df9bd4a0a5407ab11778.jpg,,https://docs.google.com/spreadsheets/d/1AmuIQVeogXdI9d7O8_s_0pyHBX1J0duwy5sasUuQZ9M/edit?usp=sharing,"Darkblade [4], Esper [2], Weaponmaster [1]",,7,Nezmira,,"Anise is a tall and imposing woman, standing at around 6'0"" and wielding a large but otherwise ordinary greatsword. Her hair is light brown and often kept in the style of a chignon, pinned in place by the binyeo she wears. Up-close, scale-shaped brands can be seen going up her neck and parts of her face, though they are mostly hidden by her shawl and hair. Anise dresses in loose-fitting garb, accustomed to the heat of Nezmira. Other identifying features include her golden-yellow eyes, and small pieces of debris float around her at times, as if Anise had her own small gravitational field.",Fugitive Experiment,,,,Vengeance
Apollo Marinelli - ᵀʰᵉ Overture,80826834912018432,1359573141638353152,dff351aa-a175-4fdb-bc2b-65554c0b9b2a,https://cdn.discordapp.com/attachments/792706882397405196/1337190015217959032/Untitled1344_20250206162115.png?ex=67aa7f3f&is=67a92dbf&hm=512eb0dd5bb7a621d5c998463d6c4896038475e813daae0708e120a93b6b6603&,https://discord.com/channels/1169852846083153941/1170111183869706362/1337190261582856274,https://docs.google.com/spreadsheets/d/1faSRBsu26YcrmQsLpHBHl_YDf-H7pQxMP3vCZgep-Sg/edit?usp=sharing,"[7] Loremaster
[5] Dancer
[3] Chanter",#EF2B7C,15,"Heartdom, Kaiway",,"Standing at 5'7"" and carrying himself with dignity. Apollo is a Yellow-olive scale colored Nezzim with a dainty form. He sports two sets of horns, green eyes, and a pair of glasses, likely to help with reading all the books he tends to carry around. He can typically be seen wearing his Kaiway uniform. A fuschia-colored top with baggy upper-arm sleeves, a crimson scarf, and a pauldron, along with a courier bag containing all of his necessities. He moves with grace and fluidity, often carrying a smug expression on their face.",Regal Vessel (Two-Handed Gunblade),,,"- Comes from a very toxic family of a distancing father and Egocentric mother
- Father is a well established and proficient paladin, Mother is a bureaucrat and spokeperson/negotiator for one of Heartdoms larger regions.
- At home was constantly abused for his lack of strength and capability. Mother only expects excellence to make herself look good, and her behaviour caused his golden child of a brother to do the same.
- Ran away from home to enroll into Gnosis Academy against his family's wishes, initially enrolled as a Paladin to get back at them by trying to be better than his brother.
- After his first year at the academy, seeing his overall results were not up to par, he changed to the House of Treasures to become a Regalia. Succeeding in the necessary measures to achieve that, Apollo now having become the Overture, he chose Perseus to become his Regent.",Belonging
